name,neo_reference_id,is_potentially_hazardous_asteroid,absolute_magnitude_h,estimated_diameter_min,estimated_diameter_max,orbit_id,minimum_orbit_intersection,jupiter_tisserand_invariant,epoch_osculation,eccentricity,semi_major_axis,inclination,ascending_node_longitude,orbital_period,perihelion_distance,perihelion_argument,aphelion_distance,perihelion_time,mean_anomaly,mean_motion
(2016 GT2),3749065,False,25.677,19.4605440107,43.515099287,3,.061187,4.217,2457483.5,.3476224236257582,1.61963441128488,16.30015181478838,16.3054696857631,752.876809365561,1.056613171846352,193.1502735900698,2.182655650723408,2457496.010182783971,354.0180574747351,.4781658772347724
(2016 GU2),3749070,False,23.999,42.1458654756,94.2410201739,3,.0279156,2.888,2457484.5,.9575303762774783,2.055364844312493,10.27991349625922,16.51553373327968,1076.296214414514,.087290571550451,21.02398408423883,4.023439117074535,2457442.358621391579,14.09546563097804,.3344804108558845
(2016 GV2),3749068,False,24.426,34.6222251755,77.4176490248,2,.0960376,3.102,2457483.5,.5952825181532856,2.619571149886217,11.81673818575232,.2758129545901482,1548.615939476278,1.060186239300252,212.5895571931456,4.178956060472183,2457500.944878874324,355.9446650168921,.2324656429157945
(2016 GF241),3752100,False,23.114,63.3512190935,141.6576323505,1,.168065,4.601,2457489.5,.3188251450792894,1.389234360765782,29.12451644378875,194.0263455757928,598.0833351800652,.946311514145498,83.46831020133932,1.832157207386067,2457561.895212405888,316.4236705269959,.6019228071145214
(2016 CM137),3742883,False,25.8,18.388867207,41.1187571041,7,.000491731,3.572,2457400.5,.5536457772268387,2.06049248269563,3.190901402484811,308.0510269968784,1080.326373648829,.9197095206435495,145.0700156059191,3.201275444747711,2457392.080180441057,2.8057586254991,.3332326311576483
(2016 CC193),3743129,False,21.7,121.4940407996,271.6689340891,12,.186566,3.201,2457400.5,.5488153056435259,2.393007163007761,25.07183211491995,144.369914772591,1352.117471995277,1.07968820543451,46.34034160778224,3.706326120581013,2457483.730584622503,337.8399354459301,.2662490556155298
(2016 CM193),3743497,False,19.159,391.5209236854,875.4673999741,1,.485243,3.362,2457429.5,.4426236605905439,2.331721528682116,19.74165762959008,118.774357965897,1300.509265521944,1.299646410179059,85.82937955265747,3.363796647185173,2457516.296663839134,335.9734130232839,.2768146368073113
(2016 CA194),3743604,False,27.2,9.6506146958,21.5794304844,3,.0298719,4.043,2457429.5,.415991090754511,1.736233787986674,5.04490433222115,145.4723425954578,835.6236677554544,1.013976000717261,349.0968057405087,2.458491575256087,2457423.897982593474,2.413438422306099,.4308159448941723
(2016 CD194),3743611,False,23.8,46.1907460282,103.2856480504,6,.105981,3.958,2457400.5,.391117548245883,1.743265074507743,24.06942410189388,321.8070236682628,840.7048849516061,1.061443512623598,208.6869804749875,2.425086636391887,2457454.502951327367,336.8752830798987,.4282120949264174
(2016 CE194),3743609,False,26.1,16.0160337979,35.8129403019,9,.00389196,3.722,2457400.5,.5146374213684264,1.946417141944069,1.845238972546481,138.6281779716835,991.864411723425,.9447180431066712,324.3149378360915,2.948116240781468,2457399.269396747535,.446650939030565,.3629528348279761
(2016 CG194),3743612,False,24.1,40.2304579834,89.9580388169,5,.13868,4.124,2457433.5,.3495896328770717,1.703772744561604,3.363221600256396,23.52512309391578,812.2990150478344,1.108151456284352,84.30202102424656,2.299394032838856,2457394.568039386246,17.25412140272766,.4431865524037358
(2016 CN195),3743743,False,25.6,20.1629919443,45.0858206172,6,.116343,3.869,2457400.5,.4131751852559285,1.874336281618868,1.75834347629246,19.31837896969525,937.2807440409814,1.099907041229084,120.6269226889652,2.648765522008651,2457427.279714253931,349.7141841516444,.3840898282492182
(2016 CK246),3743895,False,21.9,110.8038821264,247.7650126055,9,.146098,2.477,2457400.5,.7270681218095462,3.990953572258854,12.74273190998677,304.5969270191338,2912.147983032233,1.08925845424751,217.2557382322909,6.892648690270197,2457461.139683066393,352.5037168333832,.1236200914574249
(2016 CL246),3743894,False,19.4,350.3926411083,783.5017643338,4,.21842,4.244,2457400.5,.4458708352660498,1.435755834079515,48.7973122931404,310.7055902384794,628.3755977823714,.7955941811003775,7.335841891488648,2.075917487058653,2457140.513632208538,148.9476878720893,.5729057609342123
(2016 CM246),3743896,False,20.5,211.1324447897,472.1064988055,6,.053889,3.440,2457431.5,.776677812798503,1.945963818617573,6.28531256059174,325.9567217640717,991.5179219471507,.4345768961886536,43.8422826875912,3.457350741046493,2457322.853924401379,39.44718128613747,.3630796701012011
(2016 CQ246),3743899,False,25.3,23.150212221,51.7654482198,3,.0214107,3.860,2457400.5,.6125263563311686,1.769321151656739,4.680153079997379,340.9636795474397,859.6237997265137,.6855653134527697,243.159121110927,2.853076989860708,2457480.128453206499,326.6525715511139,.4187878466307386
(2016 CS246),3743900,False,20.0,265.8,594.3468684194,14,.183956,3.343,2457400.5,.4820062525779748,2.210875706045343,29.94214356163553,142.5258569743876,1200.7287741474,1.145219792058743,23.95495446538339,3.276531620031943,2457477.764751155662,336.8346432475651,.2998179170442756
(2016 CW246),3743904,False,25.8,18.388867207,41.1187571041,6,.0487504,3.817,2457437.5,.4560219526775344,1.897578139056096,.7520134997933321,43.46286399975551,954.7681643865199,1.032240850725533,87.58492527778947,2.762915427386659,2457421.520229728755,6.025250434847261,.3770548845554729
(2016 CW247),3744319,False,22.3,92.1626548503,206.0819612321,4,.0112564,3.965,2457400.5,.5707079201722411,1.712281444213548,10.55742111012717,310.652658174288,818.3915796830939,.7350688624369128,287.571205266953,2.689494025990184,2457514.806402775597,309.7180738160217,.4398872238389878
(2016 CA248),3744321,False,27.8,7.3207398935,16.3696720474,3,.0098193,3.919,2457434.5,.4765554845708288,1.803677748259782,2.677657914223371,148.0516403618993,884.7831598687452,.9441252249282202,317.5106541384035,2.663230271591344,2457401.271165753225,13.52012659306669,.4068793534151405
(2016 CD248),3744324,False,22.2,96.5061469579,215.7943048444,6,.0329304,3.743,2457400.5,.5729212231427957,1.865975817184908,13.46780467759489,359.1504552515835,931.0166405758429,.7969186696484526,55.33347551566172,2.935032964721363,2457355.394118978365,17.4412749032553,.3866740768213729
(2016 CE248),3744325,False,23.4,55.5334911581,124.1766612574,6,.0843162,3.843,2457436.5,.4508931133375896,1.743026879953964,33.87890391674535,142.3783578252636,840.5325837158961,.9571080634204163,309.2395936650924,2.528945696487512,2457384.337120019036,22.3413549420403,.428299874358805
(2016 CJ248),3744556,False,19.2,384.1978910643,859.0926012318,12,.214392,3.133,2457400.5,.5459768234746212,2.636641365050633,13.57634053017984,270.6440750998393,1563.777711091894,1.197096287918499,325.709545819327,4.076186442182767,2457522.248024868479,331.9721744070333,.2302117477736865
(2016 DR2),3744852,False,25.6,20.1629919443,45.0858206172,4,.100394,5.113,2457448.5,.1384321929335825,1.255897922579106,5.01334445546223,156.151316494859,514.0790906139016,1.08204121905575,334.1729604637326,1.429754626102463,2457417.537218039060,21.68265877654619,.700281350813347
(2016 EE1),3745030,False,24.5,33.4622374455,74.8238376074,5,.0164987,3.322,2457452.5,.6388716253809593,2.242668503216509,7.494562062265175,151.9641414162321,1226.721713242622,.8098912313758949,309.8930384792242,3.675445775057124,2457409.402483242330,12.64761670497358,.2934650916452791
(2016 EQ1),3745059,False,26.3,14.6067964271,32.6617897446,10,.00530116,4.436,2457400.5,.3436424106838673,1.521179462421868,.4149805925571405,328.9870904862135,685.2816565196728,.9984376848724277,234.6429448822742,2.043921239971308,2457488.513584129390,313.7636970359052,.5253314408389761
(2016 ER1),3745061,False,23.5,53.0340723319,118.5877908577,3,.0528219,3.381,2457451.5,.6829471405911467,2.123637376888005,4.009289607616421,98.88412061193603,1130.365691872717,.6733053026898586,148.5514426629003,3.573969451086151,2457501.373829167456,344.1161328326073,.3184810036153657
(2016 ES1),3745062,False,24.2,38.4197891064,85.9092601232,13,.0892732,3.703,2457400.5,.4632777908997124,1.976806708101322,11.48918436129236,358.7164912270575,1015.183933867969,1.060996063336409,153.5498452896764,2.892617352866235,2457442.442032727941,345.1267033703644,.3546155410757517
(2016 EV1),3745063,False,24.0,42.1264610556,94.1976305719,5,.00973666,3.067,2457451.5,.7140732784848537,2.470848792469995,5.148987281836368,190.8917372778633,1418.625232437354,.7064816945906038,246.8102123495759,4.235215890349386,2457398.553041217149,13.43618083620128,.2537668101260827
(2016 EA27),3745106,False,20.8,183.8886720703,411.1875710413,13,.301097,3.602,2457400.5,.451089648654305,1.941186695634866,32.28827221654064,160.2650799374142,987.8690656378076,1.065537471128523,73.88231386083712,2.816835920141209,2457524.282841726611,314.8909622017477,.3644207643728268
(2016 EP56),3745902,False,24.5,33.4622374455,74.8238376074,3,.0214394,4.053,2457454.5,.7132637011419325,1.584184683909361,6.586624263254884,327.3244164681022,728.294687636088,.4542432529718078,83.52768721548838,2.714126114846914,2457400.270178973296,26.80609360612074,.4943054042704807
(2016 EG85),3746216,False,26.8,11.6025908209,25.9441817907,5,.0101535,3.736,2457459.5,.5338043652320971,1.917734711115121,5.295466751155055,167.9017859137615,970.0211877729167,.8940395509647547,309.1811760819274,2.941429871265487,2457417.218434217389,15.6917847502763,.371125914091143
(2016 EB156),3746619,False,21.2,152.9519353442,342.0109247198,3,.0976832,4.008,2457458.5,.3945561746923478,1.765460174703599,7.647756631687829,25.50124187489159,856.8115547364484,1.068886961600863,225.735751696891,2.462033387806335,2457522.903232637321,332.9401831461444,.4201624009502701
(2016 EC156),3746622,True,20.706,192.0237632216,429.3781878588,1,.0189769,2.937,2457459.5,.709171584579984,2.709447821287829,2.393992274805913,6.531110565155756,1628.994486920877,.787984416528354,268.271178350283,4.630911226047304,2457559.415517691484,337.9191478806513,.2209952230596382
(2016 EC158),3747346,False,21.6,127.2198785394,284.4722965033,6,.0911737,3.235,2457400.5,.7165681685463382,2.238655161808436,5.363785364640068,289.9195700468507,1223.430288453867,.6345061325045587,353.8390892927805,3.842804191112314,2457551.288046422056,315.6299225021294,.2942546080455117
(2016 EG158),3747348,False,27.1,10.1054341542,22.5964377109,4,.0172614,3.680,2457464.5,.4923948534143405,2.000542008363673,1.003512672624587,11.89195520578651,1033.522509832733,1.015485419406212,174.851884166713,2.985598597321134,2457472.185291830120,357.3230335744782,.3483233278182427
(2016 FZ2),3747993,False,24.6,31.9561886721,71.4562101727,9,.0575762,3.633,2457400.5,.4831680919722325,2.035766953437869,10.35204955516006,8.334402099152674,1060.939251223977,1.052149318845169,170.1556992859093,3.019384588030569,2457465.869105360054,337.8188261934223,.3393219730391516
(2016 FD),3747982,False,20.466,214.4642838427,479.5567174181,1,.399481,3.907,2457464.5,.284316040370486,1.813189228932462,23.61814623463259,164.1384920591879,891.7910770523494,1.29767044691997,304.1751599928566,2.328708010944955,2457348.255481023256,46.9258191839604,.4036819937579029
(2016 FC12),3748362,False,24.9,27.8326768072,62.2357573367,2,.0839761,4.252,2457477.5,.4313188280357353,1.582021853597386,14.68122369621127,3.070408946024704,726.8037250418852,.8996660417768396,107.827040282376,2.264377665417932,2457409.814004361115,33.52618814466636,.4953194206307259
(2016 FY12),3748476,False,26.3,14.6067964271,32.6617897446,6,.00402889,3.402,2457400.5,.5935792522536771,2.203707517729117,6.314411414867227,207.5801687975315,1194.893934828322,.8956324571696609,47.21045554948954,3.511782578288574,2457530.394635932887,320.8650880443561,.3012819711497853
(2016 FE13),3748459,False,25.8,18.388867207,41.1187571041,5,.0717226,4.177,2457482.5,.3581070850820574,1.655483725188945,10.93692401644102,189.9387864406062,778.0111127734457,1.062643273960746,344.6863399802837,2.248324176417143,2457463.118951709073,8.967966228479119,.4627183263702698
(2016 FF13),3748460,False,23.4,55.5334911581,124.1766612574,14,.0491078,3.265,2457400.5,.5876094918576236,2.400666478315785,2.999837876009414,150.7564732147393,1358.614261889601,.9900120688730161,89.83894711969168,3.811320887758555,2457521.202945303182,328.0166317047859,.2649758729157615
